Max Score: 96
Average Score: 18.308
Average Score last 50: 18.2
Games Played: 1000
Gamma, Epsilon, Alpha: 0.99 0 0.99
[-2106.119974674949, -2673.786304641927, -2558.7201690933416, -2539.462112206012, -2318.0249269280976, -276.5456951364198, -2833.8716099037633, -2684.3318427420895, -2535.2540021542613, -2835.4537459707544, -2502.172385766491, -2496.4235349812016, -2615.394658516241]
[-1635.681166823738, -1785.1154359644765, -1992.8510101333457, -2499.3394272690966, -2546.6692404308396, -2548.6343458230126, -2540.8677993010083, -2617.041830235852, -2185.3822151204167, -2557.57328189347, -2591.4259626665685, -2367.4641414608363, -2764.174949185209]
[-2337.3218126254965, -2039.989643672489, -2514.967642758213, -2586.7075924440855, -2283.6507099981627, -2064.7480880012768, -2490.3264524721076, -2640.5039247260765, -2499.2089959320597, -2085.937101256184, -2162.2145621574327, -2732.6637525053557, -1809.174551804673]
[-2222.158595371031, -1975.1883635932306, -2286.436609236495, -1791.3738755397787, -1746.5426072350238, -1865.1384675062855, -2520.5344075907283, -2403.9685170510334, -2382.9785541097212, -2506.420848069213, -2531.6541284979357, -2330.6787888898343, -1344.3389529877556]
[-1971.830320270642, -2261.6217845704473, -2481.470325419977, -2016.6888530111478, -2530.628697058089, -2550.3420790618475, -2719.7865453098575, -2403.392857751767, -2365.5556869270426, -2515.9552696618207, -2398.8397212566165, -2519.9788581887797, -2420.6857575932863]
[-2808.4248929663804, -2360.799022656014, -882.0916424952982, -2534.7907795236856, -2150.0055130692576, -2201.9437198190703, -2604.1465500238996, -2783.5699332690206, -1962.2270720135714, -2395.967466628717, -2438.825595077707, -2734.404275468886, -2604.795161983038]
[-2514.8883370408753, -2232.3722185441184, -2120.4904541474752, -1886.8480830359135, -1976.6509118569863, -2365.462382806843, -2143.619942273578, -2379.5970631408545, -2388.9293658894603, -2387.629925147854, -2523.3643005363842, -2674.9723041075385, -1505.927181429212]
[-2638.0892773082737, -1870.9738078386038, -2674.0783431845257, -2218.3111655704915, -2247.4693953184446, -1691.4620092364235, -2782.436723322096, -2216.188295850812, -2246.6126444450483, -2751.2493506975443, -2554.0279245131105, -2482.9835903169787, -2367.523932359196]
[-1809.2892732436244, -2028.9278871399317, -2103.4432192294103, -2479.6336332945834, -1395.9557172857944, -2470.5977182520924, -2103.8949003068283, -2433.0262765852626, -2438.659806300563, -1900.07932303951, -2153.0513687646717, -2735.3955885973137, -2795.514607970331]
[-1869.5868792443898, -2544.3932864160092, -1952.0615516480048, -2704.4490226263356, -2069.861409891082, -2290.2170183216986, -2510.288061724613, -2511.762670743137, -2602.0219306112267, -2592.99009788182, -2357.4768053720636, -2565.507566111058, -2582.609182578833]
[-2474.8524737149964, -2615.0131216594614, -2308.5901013412836, -1679.249912915019, -2365.8399397834005, -2442.8980574539396, -2404.532537177251, -2598.748919310316, -2665.77451911726, -2263.865668097777, -2047.5583737781717, -2488.123049556467, -2640.481271754084]
[-2875.6315022265253, -1423.222099732628, -2527.8046536280235, -1284.7524639807834, -2508.128036383528, -2167.3956411790186, -2824.3865995806436, -1141.8412825588127, -2054.1051410377822, -2238.9176617998573, -2460.35840959492, -2339.1451121018117, -1831.3335250708537]
[-2450.691833234643, -2448.516144235518, -1828.5893068756418, -1590.534034977987, -2270.2695984179336, -1938.0678809831643, -1864.7773633576185, -2666.298188024108, -2255.941894320495, -2440.543018446715, -2412.380802107493, -2556.186199936848, -2728.8359735344975]
[0, 0, 0, 0, 0, 0, -2656.2503816394988, -2733.240619923207, -2607.1052231471476, -2651.5594839002565, -2572.800684973957, -2725.773845889108, -2594.7678274432756]
[0, 0, 0, 0, 0, 0, -2170.9214414652492, -2285.297071093462, -2386.11394051471, -2328.7376280468934, -2294.691624004699, -2430.4013431519675, -2529.4436142013465]
[0, 0, 0, 0, 0, 0, -2248.0066678030466, -2845.9371314915775, -2621.4816233782212, -2569.492224451427, -1676.781111625958, -2236.190613162374, -1961.803124497298]
[0, 0, 0, 0, 0, 0, -2529.1799086061274, -1957.5106347671579, -2582.152730439095, -2798.203556333322, -2601.28084153422, -2122.498287863973, -2177.8177960216044]
[0, 0, 0, 0, 0, 0, -2657.374900918777, -2647.2042829777934, -2836.6719737569674, -2484.6032726838, -2586.2123006271145, -2470.485244507414, -2481.573669861218]
[0, 0, 0, 0, 0, 0, -2636.1130275120763, -2543.287158716685, -2440.343905308105, -2749.0317506253637, -2728.336650956284, -2316.9630351620362, -2801.3639112631618]
[0, 0, 0, 0, 0, 0, -2564.7091154319987, -1773.2002426840118, -2805.1581496299696, -2649.3201750411517, -2652.2880046137884, -1597.3867217611676, -2293.916740776785]
[0, 0, 0, 0, 0, 0, -2582.6146094529704, -2436.271339227725, -1620.86839666991, -2507.3805017518803, -2547.5417390445, -2711.210772598857, -2280.605503650029]
